,City,Income,Population,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
0,West Windsor,175684,28289,48.03,47.79,2.69,46.65,3.02,50.71,40.0,45.3,26.15
1,East Windsor,85636,27675,47.43,65.92,8.14,19.72,23.17,49.61,31.0,39.0,24.07
2,Hopewell,113125,1976,46.96,93.12,1.16,3.95,3.19,55.36,,43.6,24.75
3,Hightstown,72973,5527,48.45,75.72,6.66,4.67,36.11,53.48,,39.0,19.63
4,Hopewell,129320,18503,50.4,83.99,5.53,6.63,5.38,50.01,,47.3,21.87
5,Ewing,74534,36437,48.19,62.2,28.76,4.81,8.52,48.19,22.0,41.7,16.32
6,Hamilton,73415,89206,47.35,76.41,13.88,4.79,14.89,52.41,24.0,45.4,19.43
7,Pennington,121667,2591,46.82,92.36,2.2,1.81,3.55,48.75,,47.1,22.5
8,Lawrence,96529,33288,47.2,68.99,11.82,15.66,8.58,52.03,25.0,41.5,19.18
9,Trenton,35524,84867,51.38,39.62,50.48,1.43,35.96,40.45,24.0,35.3,25.18
10,Frankford,87500,5399,49.42,96.24,0.44,2.46,8.71,50.42,,47.7,18.39
11,Hampton,75643,4959,50.35,93.79,1.01,1.9,7.72,54.55,,47.2,15.43
12,Sussex,41667,1872,48.61,87.61,2.24,9.88,8.17,49.79,,40.9,18.75
13,Andover,61591,604,44.7,94.21,1.16,1.49,5.79,59.6,25.0,47.5,15.73
14,Stillwater,86806,3975,52.08,98.87,0.0,0.0,4.15,53.28,,45.5,19.65
15,Hardyston,92625,7964,49.02,95.48,1.76,1.83,2.57,53.92,,45.6,20.29
16,Newton,63661,7937,51.69,84.47,6.05,1.8,17.02,48.94,,46.8,16.86
17,Montague,70329,3753,53.16,91.9,2.26,2.16,1.81,49.16,,46.6,18.6
18,Walpack,-666666666,6,0.0,100.0,0.0,0.0,0.0,0.0,-inf,86.5,0.0
19,Fredon,108400,3238,49.07,92.37,0.12,1.64,5.59,48.05,,46.5,25.76
20,Hopatcong,79613,14507,50.39,91.49,2.0,3.8,10.52,55.05,,43.1,18.29
21,Sandyston,80190,1854,49.35,96.01,0.49,2.21,6.09,48.65,,46.6,18.34
22,Sparta,133113,19053,48.44,91.83,2.55,3.05,6.61,51.25,,42.7,26.92
23,Andover,101250,6052,51.19,92.81,3.11,2.56,4.18,47.01,,47.8,19.63
24,Franklin,57232,4849,47.64,94.04,4.62,0.72,7.34,51.8,,43.1,20.97
25,Hamburg,73735,3172,49.12,92.47,4.04,2.87,4.48,53.12,,45.1,18.38
26,Lafayette,96815,2391,50.02,98.45,0.79,0.0,8.07,52.11,,44.2,19.95
27,Wantage,92788,11062,50.55,94.87,0.82,1.18,5.5,51.11,,46.5,22.7
28,Byram,104099,8076,51.88,97.15,0.59,1.49,3.26,54.66,38.0,44.2,21.29
29,Stanhope,83813,3411,45.91,86.07,2.14,2.46,10.26,54.32,,47.2,24.07
30,Ogdensburg,82500,2433,51.62,92.85,0.45,3.12,8.75,54.38,,40.4,22.52
31,Green,117563,3511,49.39,94.93,0.4,0.17,8.26,52.89,,43.3,25.86
32,Vernon,90805,22572,48.99,93.23,2.48,0.6,9.66,55.6,,44.2,20.38
33,Branchville,70625,920,49.67,95.22,2.72,1.63,2.28,39.35,,39.3,24.57
34,Fairfield,52602,6300,56.52,36.32,46.22,0.29,15.73,34.84,,43.5,19.05
35,Maurice River,72455,6958,87.27,44.57,40.27,2.07,15.71,12.78,,42.0,4.96
