,Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode,Income,Population,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
10,Bernards-Riverwalk,40.65,-74.58,655 Martinsville Road,,,Basking Ridge,NJ,,,,,,,,,,,
14,Paramus Park Mall Center Court,40.96,-74.07,700 Paramus Park,,,Bergen,NJ,,,,,,,,,,,
16,Gloucester Premium Outlets,39.78,-75.05,1125 S Black Horse Pike,Space 575,,Blackwood,NJ,,,,,,,,,,,
37,Cedar Knolls Hanover,40.81,-74.47,178 Hanover Avenue,101,,Cedar Knolls,NJ,,,,,,,,,,,
74,NJ TP Vince Lombardi Travel Plaza,40.83,-74.0,NJTP MM 116,,,East Ridgefield,NJ,,,,,,,,,,,
93,Fair Lawn Promanade,40.94,-74.13,16-31 state route 208,,,Fairlawn,NJ,,,,,,,,,,,
96,Forked River Travel Plaza-Gdn St. P,39.87,-74.21,Garden State Parkway,Mile Marker 74.5,,Forked River,NJ,,,,,,,,,,,
128,Stop & Shop-Franklin #802,40.43,-74.56,3333 Rt. 27,,,Franklin Park,NJ,,,,,,,,,,,
148,Gillette,40.67,-74.48,977 Valley Road,,Valley Mall Shopping Center,Gillette,NJ,,,,,,,,,,,
170,Rt. 1 North Woodbridge,40.56,-74.3,774 Route 1 N,,,Iselin,NJ,,,,,,,,,,,
179,Quaker Bridge,40.29,-74.68,150 Quaker Bridge Mall RD,2026,Quaker Bridge Mall,Lawrenceville,NJ,,,,,,,,,,,
180,Mercer Mall,40.3,-74.68,301 Mercer Mall,,,Lawrenceville,NJ,,,,,,,,,,,
181,Rider University/Student Rec Center,40.28,-74.73,2083 Lawrenceville Rd,,,Lawrenceville,NJ,,,,,,,,,,,
182,Lawrenceville,40.3,-74.73,2673 Main St,,,Lawrenceville,NJ,,,,,,,,,,,
183,Teavana - Quaker Bridge,40.29,-74.72,150 Quaker Bridge Mall,,Quaker Bridge,Lawrenceville,NJ,,,,,,,,,,,
184,Acme - Lincroft #7932,40.33,-74.12,619 Newman Springs Road,,,Lincroft,NJ,,,,,,,,,,,
190,Target Stafford Township T-2392,39.71,-74.29,209 Stafford Park Blvd,,,Manahawkin,NJ,,,,,,,,,,,
194,Mays Landing Wrangleboro,39.45,-74.64,760 Consumer Square,,Wrangleboro Consumer Center,Mays Landing,NJ,,,,,,,,,,,
206,"Rte 9, Marlboro",40.35,-74.31,67 Route 9 South,,,Morganville,NJ,,,,,,,,,,,
228,Route 35 - Oakhurst,40.26,-74.04,2100 Highway 35,,,Oakhurst,NJ,,,,,,,,,,,
244,NJ Clara Barton TP,39.72,-75.46,NJTP Mile Marker 5.4 Southbound,,,Pennsgrove,NJ,,,,,,,,,,,
251,Absecon Travel Plaza - NJ Turnpike,39.49,-74.59,Garden State Pkwy Mile Marker 41.3,,,Pomona,NJ,,,,,,,,,,,
253,Princeton,40.35,-74.66,100 Nassau Street,,,Princeton,NJ,,,,,,,,,,,
254,Princeton Market Fair,40.31,-74.66,3535 Rt. 1 Ste. 426,,Princeton Market Fair,Princeton,NJ,,,,,,,,,,,
260,Rio Grande,39.02,-74.87,3301 Route 9 South,Unit T-1A,Rio Grande Shopping Center,Rio Grande,NJ,,,,,,,,,,,
284,Sewell Washington Center,39.75,-75.08,304 Greentree Road,,Washington Center,Sewell,NJ,,,,,,,,,,,
285,Target Mantua T-2384,39.77,-75.13,675 Woodbury Glassboro Rd,,,Sewell,NJ,,,,,,,,,,,
286,Teavana - The Mall at Short Hills,40.74,-74.36,1200 Morris Turn Pike,#B-260,,Short Hills,NJ,,,,,,,,,,,
287,The Mall at Short Hills,40.74,-74.36,1200 Morris Turnpike,,The Mall at Short Hills,Shorthills,NJ,,,,,,,,,,,
292,"Sicklerville, NJ",39.74,-75.01,611 Berlin Cross Keys Rd.,,,Sicklerville,NJ,,,,,,,,,,,
293,Target Gloucester T-2181,39.75,-74.99,1615 Berlin Cross Keys Rd,,,Sicklerville,NJ,,,,,,,,,,,
295,Somerset,40.52,-74.52,120 Cedar Grove Lane,,Cedar Grove Shopping Center,Somerset,NJ,,,,,,,,,,,
300,South Orange,40.75,-74.26,11 Sloan Street,,,South Orange,NJ,,,,,,,,,,,
309,Target Turnersville T-1132,39.73,-75.04,4001 Black Horse Pike,,,Turnersville,NJ,,,,,,,,,,,
310,5340 Route 42 Turnersville,39.76,-75.05,5340 Route 42,,,Turnersville,NJ,,,,,,,,,,,
343,Woodrow Wilson Travel Plaza - N6,40.18,-74.63,"Mile post 57.8-North, NJ Turnpike",,,Yardville,NJ,,,,,,,,,,,
