,Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode,Income_x,Population_x,lat-API,long-API,target search add,Income_y,Population_y,Male Pop (%),White (%),Black (%),Asian (%),Hispanic (%),Employed (%),Travel Time to Work (mins),Median Age,Age <18 (%)
0,Galloway,39.46,-74.49,405 S. Pitney Road,,Galloway Village Square Shopping Center,Absecon,NJ,63887.0,8370.0,39.4621663,-74.49471609999999,"405 S. Pitney Road, Absecon, NJ",63887.0,8370.0,47.93,79.86,8.69,6.38,7.42,46.31,,51.2,19.39
1,Acme - Allendale #1095,41.03,-74.13,45 Demercurio Dr,,,Allendale,NJ,151875.0,6820.0,41.0289552,-74.1281256,"45 Demercurio Dr, Allendale, NJ",151875.0,6820.0,47.9,85.12,1.09,11.74,1.8,45.72,,47.8,28.04
2,Target Ocean T-1378,40.23,-74.05,2331 State Route 66,,,Asbury Park,NJ,39324.0,15830.0,40.2313358,-74.0450675,"2331 State Route 66, Asbury Park, NJ",39324.0,15830.0,49.2,37.25,46.78,0.66,30.16,47.87,24.0,40.6,23.83
3,"Atlantic City, The Walk",39.36,-74.44,120 North Michigan Avenue,,,Atlantic City,NJ,26006.0,39075.0,39.360767,-74.43701779999999,"120 North Michigan Avenue, Atlantic City, NJ",26006.0,39075.0,49.58,31.97,36.24,18.23,29.27,39.01,,41.7,25.21
4,Golden Nugget-Atlantic City,39.38,-74.43,1 Castle Blvd,,,Atlantic City,NJ,26006.0,39075.0,39.3784847,-74.4291306,"1 Castle Blvd, Atlantic City, NJ",26006.0,39075.0,49.58,31.97,36.24,18.23,29.27,39.01,,41.7,25.21
5,Tropicana Marketplace,39.35,-74.45,2831 Boardwalk,,,Atlantic City,NJ,26006.0,39075.0,39.3523692,-74.4445618,"2831 Boardwalk, Atlantic City, NJ",26006.0,39075.0,49.58,31.97,36.24,18.23,29.27,39.01,,41.7,25.21
6,Trump Taj Mahal-Atlantic City-Main,39.36,-74.42,1000 Boardwalk at Virginia Ave,,,Atlantic City,NJ,26006.0,39075.0,39.3599884,-74.42123529999999,"1000 Boardwalk at Virginia Ave, Atlantic City, NJ",26006.0,39075.0,49.58,31.97,36.24,18.23,29.27,39.01,,41.7,25.21
7,Acme - Barnegat #7921,39.76,-74.25,912 W Bay Ave,,,Barnegat,NJ,69877.0,22141.0,39.7595923,-74.24645269999999,"912 W Bay Ave, Barnegat, NJ",69877.0,22141.0,46.81,88.18,7.15,0.5,8.68,41.62,,48.9,21.07
8,Bernards-Riverwalk,40.65,-74.58,655 Martinsville Road,,,Basking Ridge,NJ,,,40.6523937,-74.57657019999999,"655 Martinsville Road, Basking Ridge, NJ",,,,,,,,,,,
9,Stop & Shop - Bayonne #853,40.67,-74.11,1 Lefante Way,,,Bayonne,NJ,56701.0,66719.0,40.667771,-74.1041829,"1 Lefante Way, Bayonne, NJ",56701.0,66719.0,49.61,65.7,11.11,8.97,29.6,46.7,34.0,43.2,22.26
10,Village at Bedminster,40.65,-74.64,432 US Highway 202/206,,Village at Bedminster,Bedminster,NJ,104452.0,8244.0,40.650104,-74.641595,"432 US Highway 202/206, Bedminster, NJ",104452.0,8244.0,46.24,88.88,1.36,7.04,7.08,62.6,,46.3,13.42
11,NJ Monmouth Travel Plaza,40.02,-74.27,"Garden State Pkwy, Mile Marker 100",,,Bellmar,NJ,,,40.1982323,-74.0990925,"Garden State Pkwy, Mile Marker 100, Bellmar, NJ",,,,,,,,,,,
12,Paramus Park Mall Center Court,40.96,-74.07,700 Paramus Park,,,Bergen,NJ,,,40.9569034,-74.0691853,"700 Paramus Park, Bergen, NJ",,,,,,,,,,,
13,Bernardsville Center,40.72,-74.56,80 Morristown Rd.,Unit 10,,Bernardsville,NJ,150635.0,7792.0,40.7204005,-74.5636559,"80 Morristown Rd., Bernardsville, NJ",150635.0,7792.0,56.17,87.54,0.03,4.36,13.51,52.84,,44.5,25.13
14,Gloucester Premium Outlets,39.78,-75.05,1125 S Black Horse Pike,Space 575,,Blackwood,NJ,,,39.7848715,-75.052824,"1125 S Black Horse Pike, Blackwood, NJ",,,,,,,,,,,
