CENSUS CITIES,,CENSUS,Dirty,
Aberdeen,,Bernards,Basking Ridge,Basking Ridge NJ
Absecon,,township,Bergen,Bergen NJ
Alexandria,,Gloucester,Blackwood,Blackwood NJ
Allamuchy,,Hanover,Cedar Knolls,Cedar Knolls NJ
Allendale,,Ridgefield Park,East Ridgefield,East Ridgefield NJ
Allenhurst,,Fair Lawn,Fairlawn,Fairlawn NJ
Allentown,,Lacey,Forked River,Forked River NJ
Alloway,,Franklin,Franklin Park,Franklin Park NJ
Alpha,,Long Hill,Gillette,Gillette NJ
Alpine,,Woodbridge,Iselin,Iselin NJ
Andover,,Lawrence,Lawrenceville,Lawrenceville NJ
Andover,,Lawrence,Lawrenceville,Lawrenceville NJ
Asbury Park,,Lawrence,Lawrenceville,Lawrenceville NJ
Atlantic City,,Lawrence,Lawrenceville,Lawrenceville NJ
Atlantic Highlands,,Lawrence,Lawrenceville,Lawrenceville NJ
Audubon,,Middletown,Lincroft,Lincroft NJ
Audubon Park,,Stafford,Manahawkin,Manahawkin NJ
Avalon,,Hamilton,Mays Landing,Mays Landing NJ
Avon-by-the-Sea,,Matawan,Morganville,Morganville NJ
Barnegat,,Ocean,Oakhurst,Oakhurst NJ
Barnegat Light,,Penns Grove,Pennsgrove,Pennsgrove NJ
Barrington,,Galloway,Pomona,Pomona NJ
Bass River,,Princeton Township,Princeton,Princeton NJ
Bay Head,,Princeton Township,Princeton,Princeton NJ
Bayonne,,Middle,Rio Grande,Rio Grande NJ
Beach Haven,,Mantua,Sewell,Sewell NJ
Beachwood,,Mantua,Sewell,Sewell NJ
Bedminster,,Millburn,Short Hills,Short Hills NJ
Belleville,,Millburn,Shorthills,Shorthills NJ
Bellmawr,,Winslow,Sicklerville,Sicklerville NJ
Belmar,,Winslow,Sicklerville,Sicklerville NJ
Belvidere,,Franklin,Somerset,Somerset NJ
Bergenfield,,South Orange Village,South Orange,South Orange NJ
Berkeley,,Washington,Turnersville,Turnersville NJ
Berkeley Heights,,Washington,Turnersville,Turnersville NJ
Berlin,,Hamilton,Yardville,Yardville NJ
Berlin,,,,
Bernards,,,,
