Name,Latitude,Longitude,Street1,Street2,Street3,City,CountrySubdivisionCode
Galloway,39.46,-74.49,405 S. Pitney Road,,Galloway Village Square Shopping Center,Absecon,NJ
Acme - Allendale #1095,41.03,-74.13,45 Demercurio Dr,,,Allendale,NJ
Target Ocean T-1378,40.23,-74.05,2331 State Route 66,,,Asbury Park,NJ
"Atlantic City, The Walk",39.36,-74.44,120 North Michigan Avenue,,,Atlantic City,NJ
Golden Nugget-Atlantic City,39.38,-74.43,1 Castle Blvd,,,Atlantic City,NJ
Tropicana Marketplace,39.35,-74.45,2831 Boardwalk,,,Atlantic City,NJ
Trump Taj Mahal-Atlantic City-Main,39.36,-74.42,1000 Boardwalk at Virginia Ave,,,Atlantic City,NJ
Acme - Barnegat #7921,39.76,-74.25,912 W Bay Ave,,,Barnegat,NJ
Bernards-Riverwalk,40.65,-74.58,655 Martinsville Road,,,Bernards,NJ
Stop & Shop - Bayonne #853,40.67,-74.11,1 Lefante Way,,,Bayonne,NJ
Village at Bedminster,40.65,-74.64,432 US Highway 202/206,,Village at Bedminster,Bedminster,NJ
NJ Monmouth Travel Plaza,40.02,-74.27,"Garden State Pkwy, Mile Marker 100",,,Belmar,NJ
Paramus Park Mall Center Court,40.96,-74.07,700 Paramus Park,,,Paramus,NJ
Bernardsville Center,40.72,-74.56,80 Morristown Rd.,Unit 10,,Bernardsville,NJ
Gloucester Premium Outlets,39.78,-75.05,1125 S Black Horse Pike,Space 575,,Gloucester,NJ
Acme - Boonton #1582,40.91,-74.4,550 Myrtle Avenue,,,Boonton,NJ
Bordentown,40.13,-74.72,282 Dunns Mill Road,,ACME Commons at Bordentown,Bordentown,NJ
Branchburg,40.61,-74.69,240 Raritan Valley College Drive,,Shoppes at Branchburg,Branchburg,NJ
Whitehouse Station,40.62,-74.76,531 Route 22 East #8,,,Branchburg,NJ
Target Brick T-1153,40.06,-74.15,570 Rte. 70 West,,,Brick,NJ
Bridgewater Mall-Level 1 Side,40.59,-74.62,400 Commons Way,2475,Bridgewater Commons,Bridgewater,NJ
Target Bridgewater T-1224,40.56,-74.56,200 Promenade Blvd,,,Bridgewater,NJ
The Village at Bridgewater Commons,40.58,-74.61,610 Commons Way 4300,,The Village at Bridgewater Commons,Bridgewater,NJ
Target Burlington T-1158,40.04,-74.82,2703 Route 541,,,Burlington,NJ
Rutgers U/Camden-Student Union,39.95,-75.12,326 Penn St,,,Camden,NJ
Cedar Knolls Hanover,40.81,-74.47,178 Hanover Avenue,101,,Hanover,NJ
Chatham,40.75,-74.43,640 Shunpike Rd.,,,Chatham,NJ
480 Evesham Road,39.86,-74.97,480 Evesham Road,,Short Hills Towne Centre,Cherry Hill,NJ
600 Route 38 Cherry Hill,39.94,-75.05,600 Rt 38,,,Cherry Hill,NJ
Chapel & Haddonfield,39.93,-75.03,512 Haddonfield Road,,,Cherry Hill,NJ
Garden State Park,39.92,-75.04,2026 Route 70 West,Suite A,Garden State Park,Cherry Hill,NJ
Macy's - Cherry Hill Mall,39.94,-75.02,2000 Route 38,,,Cherry Hill,NJ
NJ Walt Whitman Travel Plaza,39.89,-75,NJPK MM 32.3,,,Cherry Hill,NJ
"Rt. 70 West, Cherry Hill",39.91,-75,1192 East Rt. 70,#12,Kinko's Plaza,Cherry Hill,NJ
Target Cherry Hill T-1085,39.93,-75.03,2137 SR-38,,,Cherry Hill,NJ
Chester Springs Shopping Center,40.78,-74.69,537 Route 206 South,,Chester Springs Shopping Center,Chester,NJ
Target Clark T-1467,40.63,-74.31,45 Central Ave,,,Clark,NJ
1490 Blackwood-Clementon Road,39.8,-75.04,1490 Blackwood-Clementon Rd.,Gloucester Township,Cherrywood Plaza,Clementon,NJ
Clifton Route 3,40.83,-74.14,360 Rt 3,,,Clifton,NJ
Stop & Shop-Clifton #813,40.83,-74.14,160 Kingsland Rd,,,Clifton,NJ
Closter,40.97,-73.96,234 Closter Dock Road,,Heidenberg Plaza,Closter,NJ
Target Closter T-3235,40.97,-73.96,6 Vervalan St,,,Closter,NJ
Molly Pitcher Adj Snackbar,40.32,-74.49,MM-71.7 S New Jersey Tpke,,,Cranbury,NJ
NJ TP - Molly Pitcher Mobile Truck,40.32,-74.49,New Jersey Turnpike,,,Cranbury,NJ
Stop & Shop-Monroe Township #810,40.32,-74.44,1600 Perrineville Road,,,Cranbury,NJ
Cranford N Ave E - Drive Thru Only,40.66,-74.29,345 N Ave E,,,Cranford,NJ
Cranford Train Station,40.65,-74.3,200 South Ave.,Suite 101,,Cranford,NJ
Delran,40.02,-74.94,1340 Fairview Boulevard,,Hartford Corners,Delran,NJ
Denville Plaza,40.89,-74.48,2-28 West Main Street,,Denville Plaza,Denville,NJ
Route 10 Denville,40.87,-74.51,3056 Route 10 West,,,Denville,NJ
Deptford Mall,39.83,-75.1,1750 Deptford Center Road,KI08,,Deptford,NJ
"Route 18 & Tices, East Brunswick",40.46,-74.4,300 Route 18 North,,,East Brunswick,NJ
East Hanover - Rt 10,40.8,-74.36,405 Route 10 East,,,East Hanover,NJ
Target East Hanover T-1491,40.81,-74.38,130 State Rte 10,,,East Hanover,NJ
NJ TP Vince Lombardi Travel Plaza,40.83,-74,NJTP MM 116,,,Ridgefield Park,NJ
"East Rutherford, Rt. 17",40.83,-74.09,10 State Route 17,,,East Rutherford,NJ
Hilton Meadowlands,40.81,-74.08,2 Meadowlands Plaza,,,East Rutherford,NJ
Eatontown,40.29,-74.05,178 Route 35,,,Eatontown,NJ
Edgewater,40.81,-73.98,457 River Road,,Edgewater Commons,Edgewater,NJ
Target Edgewater T-1263,40.81,-73.98,543 River Rd,,,Edgewater,NJ
Edison,40.56,-74.35,1-11 Lincoln Highway,,Colonial Village,Edison,NJ
Macy's-Menlo Park #8,40.54,-74.33,275 Menlo Park Mall,,,Edison,NJ
Menlo Park Mall,40.55,-74.34,100 Menol Park Dr.,,Menlo Park Mall,Edison,NJ
Sheraton Edison,40.52,-74.34,125 Raritan Center Pkwy,,,Edison,NJ
Target Edison T-1055,40.55,-74.34,100 Parsonage Rd,,,Edison,NJ
Jersey Gardens Mall,40.66,-74.17,651 Kapkowski Road,1456,Jersey Gardens,Elizabeth,NJ
Englewood,40.89,-73.97,17 E. Palisades Avenue,,,Englewood,NJ
Marlton,39.89,-74.93,300 State Route 73,Space A,,Evesham,NJ
Target - Fairfield T-1175,40.89,-74.27,632 US Highway 46,,,Fairfield,NJ
Fair Lawn Promanade,40.94,-74.13,16-31 state route 208,,,Fair Lawn,NJ
240 Route 202 - Flemington,40.49,-74.86,240 Route 202,,,Flemington,NJ
Florham Park,40.79,-74.39,184 Columbia Turnpike,,,Florham Park,NJ
Forked River Travel Plaza-Gdn St. P,39.87,-74.21,Garden State Parkway,Mile Marker 74.5,,Lacey,NJ
Acme - Fort Lee #1065,40.86,-73.97,2160 Lemoine Ave,,,Fort Lee,NJ
Fort Lee - Linwood Plaza,40.86,-73.97,136-38 Linwood Plaza,,Linwood Plaza Shopping Center,Fort Lee,NJ
"Fort Lee, Bergen Blvd.",40.86,-73.98,1616 Bergen Blvd.,,,Fort Lee,NJ
"Fort Lee, Route 4 E",40.86,-73.97,2215 SR-4 East,,,Fort Lee,NJ
Lemoine Ave.,40.85,-73.97,1605 Lemoine Ave.,,Whitman Plaza,Fort Lee,NJ
