Id,StarbucksId,Name,BrandName,StoreNumber,PhoneNumber,OwnershipType,Street1,Street2,Street3,City,CountrySubdivisionCode,CountryCode,PostalCode,Longitude,Latitude,TimezoneOffset,TimezoneId,TimezoneOlsonId,FirstSeen,LastSeen
1d14dd7c-1afb-452b-9322-59ec5b4460af,13780,Galloway,Starbucks,8838-94558,609-748-4962,CO,405 S. Pitney Road,,Galloway Village Square Shopping Center,Absecon,NJ,US,82059710,-74.49,39.46,-300,Eastern Standard Time,GMT-05:00 America/New_York,12/8/2013 17:41,2/3/2017 0:00
7132a578-140e-4fdf-b1a5-825f5cafb7d1,6820,Acme - Allendale #1095,Starbucks,73856-93632,201-934-9164,LS,45 Demercurio Dr,,,Allendale,NJ,US,74011711,-74.13,41.03,-300,Eastern Standard Time,GMT-05:00 America/New_York,12/8/2013 17:41,2/3/2017 0:00
f2c4ceef-134b-4d56-8cf4-08e1d25dd4e3,13023,Tropicana Marketplace,Starbucks,75621-82681,609-345-1313,LS,2831 Boardwalk,,,Atlantic City,NJ,US,84016338,-74.45,39.35,-300,Eastern Standard Time,GMT-05:00 America/New_York,12/8/2013 17:41,2/3/2017 0:00
3830478f-f10f-4c0d-b5b6-571f4d004398,9365,"Atlantic City, The Walk",Starbucks,7849-80862,609-344-0413,CO,120 North Michigan Avenue,,,Atlantic City,NJ,US,84014119,-74.44,39.36,-300,Eastern Standard Time,GMT-05:00 America/New_York,12/8/2013 17:41,2/3/2017 0:00
6f1c23f0-70d7-49a4-b7d2-6926623783ee,19096,Tropicana Casino & Resort-The Quart,Starbucks,14932-150984,609-350-6104,LS,2831 Boardwalk,,,Atlantic City,NJ,US,84016390,-74.44,39.35,-300,Eastern Standard Time,GMT-05:00 America/New_York,12/8/2013 17:41,2/3/2017 0:00
87744b14-6b18-48f1-8f1c-6c1161289b90,18167,Trump Taj Mahal-Atlantic City-Main,Starbucks,75451-102575,609-345-4045,LS,1000 Boardwalk at Virginia Ave,,,Atlantic City,NJ,US,84017415,-74.42,39.36,-300,Eastern Standard Time,GMT-05:00 America/New_York,12/8/2013 17:41,2/3/2017 0:00
329f304f-3222-4354-85e1-da527976647f,88966,Golden Nugget-Atlantic City,Starbucks,17549-173804,949-643-0337,LS,1 Castle Blvd,,,Atlantic City,NJ,US,8401,-74.43,39.38,-300,Eastern Standard Time,GMT-05:00 America/New_York,12/8/2013 17:41,2/3/2017 0:00
3f1f7dff-0631-43c9-a575-7373a1dd5020,1015682,Acme - Barnegat #7921,Starbucks,47680-258706,609-607-5909,LS,912 W Bay Ave,,,Barnegat,NJ,US,8005,-74.25,39.76,-300,Eastern Standard Time,GMT-05:00 America/New_York,8/30/2016 0:00,2/3/2017 0:00
c83cd765-3db7-4717-b70f-295977c0abb3,11233,Bernards-Riverwalk,Starbucks,7669-32160,908-626-1945,CO,655 Martinsville Road,,,Basking  Ridge,NJ,US,79202703,-74.58,40.65,-300,Eastern Standard Time,GMT-05:00 America/New_York,12/8/2013 17:41,2/3/2017 0:00
ae0d542c-4de3-4737-a5b5-0c9737c04999,7489,Stop & Shop - Bayonne #853,Starbucks,73780-111885,,LS,1 Lefante Way,,,Bayonne,NJ,US,70025070,-74.11,40.67,-300,Eastern Standard Time,GMT-05:00 America/New_York,12/8/2013 17:41,2/3/2017 0:00
