,City,Income,Population
0,West Windsor,175684,28289
1,East Windsor,85636,27675
2,Hopewell,113125,1976
3,Hightstown,72973,5527
4,Hopewell,129320,18503
5,Ewing,74534,36437
6,Hamilton,73415,89206
7,Pennington,121667,2591
8,Lawrence,96529,33288
9,Trenton,35524,84867
10,Frankford,87500,5399
11,Hampton,75643,4959
12,Sussex,41667,1872
13,Andover,61591,604
14,Stillwater,86806,3975
15,Hardyston,92625,7964
16,Newton,63661,7937
17,Montague,70329,3753
18,Walpack,-666666666,6
19,Fredon,108400,3238
20,Hopatcong,79613,14507
21,Sandyston,80190,1854
22,Sparta,133113,19053
23,Andover,101250,6052
24,Franklin,57232,4849
25,Hamburg,73735,3172
26,Lafayette,96815,2391
27,Wantage,92788,11062
28,Byram,104099,8076
29,Stanhope,83813,3411
30,Ogdensburg,82500,2433
31,Green,117563,3511
32,Vernon,90805,22572
33,Branchville,70625,920
34,Fairfield,52602,6300
35,Maurice River,72455,6958
36,Upper Deerfield,49724,7523
37,Stow Creek,69896,1327
38,Downe,48011,1580
39,Manville,67080,10436
40,North Plainfield,71895,22092
41,Peapack and Gladstone,129688,2595
42,Warren,154647,15998
43,Bernardsville,150635,7792
44,City of Orange,38645,30731
45,Livingston,153381,29955
46,Verona,113423,13585
47,Belleville,67292,36383
48,Bloomfield,74961,48892
49,Fairfield,110303,7671
50,Glen Ridge,196821,7668
51,Nutley,93691,28829
52,Cedar Grove,115926,12638
53,Essex Fells,200875,2095
54,Roseland,110208,5907
55,South Orange Village,121637,16503
56,Maplewood,126000,24706
57,Millburn,202862,20387
58,West Caldwell,105931,10932
59,Irvington,39734,54715
60,West Orange,93954,47609
61,Montclair,113293,38572
62,North Caldwell,187470,6637
63,Newark,34826,282803
64,East Orange,41819,65151
65,Beachwood,72815,11193
66,Lakehurst,62262,2687
67,Pine Beach,95909,2185
68,County subdivisions not,-666666666,0
69,Barnegat,69877,22141
70,Ship Bottom,73125,984
71,Beach Haven,86705,1102
72,Island Heights,82174,1581
73,Manchester,41689,43418
74,Mantoloking,108125,294
75,Ocean,67288,8838
76,Ocean Gate,62813,1911
77,Plumsted,91438,8509
78,Point Pleasant Beach,92143,4577
79,Brick,73051,75118
80,Harvey Cedars,85417,430
81,Seaside Park,71641,1566
82,Stafford,76527,27012
83,Eagleswood,77708,1605
84,Lavallette,68098,2042
85,Little Egg Harbor,63590,20695
86,Point Pleasant,93276,18519
87,Lacey,78649,28444
88,Berkeley,48054,41676
89,Barnegat Light,75000,494
90,Lakewood,45321,99467
91,Bay Head,112188,1011
92,Long Beach,82192,3040
93,Seaside Heights,38306,2894
94,South Toms River,62500,3741
95,Surf City,77885,1238
96,Jackson,88063,56501
97,Tuckerton,57868,3371
98,Absecon,63887,8370
99,Buena Vista,58942,7488
100,Port Republic,101500,1056
101,County subdivisions not,-666666666,0
102,Estell Manor,85313,1742
103,Corbin City,65313,497
104,Mullica,73995,6088
105,Somers Point,52397,10644
106,Folsom,69712,1804
107,Margate City,69896,6200
108,Pleasantville,39924,20568
109,Brigantine,65724,9164
110,Egg Harbor City,50720,4222
111,Linwood,91861,6959
112,Buena,50804,4510
113,Egg Harbor,78099,43651
114,Galloway,65000,37029
115,Hamilton,65084,26663
116,Ventnor City,52799,10429
117,Weymouth,61111,2772
118,Hammonton,68655,14557
119,Longport,106719,958
120,Northfield,73586,8480
121,Atlantic City,26006,39075
122,Swedesboro,78267,2609
123,Woodbury,53618,9980
124,Clayton,65595,8475
125,Woolwich,123347,12172
126,South Harrison,121406,3190
127,Harrison,130491,12884
128,Washington,91149,48119
129,Westville,54375,4223
130,Mantua,93601,15110
131,Newfield,74226,1626
132,Pitman,73538,8886
133,Monroe,74800,36779
134,Wenonah,110694,2193
135,Deptford,67983,30556
136,East Greenwich,123118,10320
137,West Deptford,71705,21348
138,Franklin,81057,16579
139,Woodbury Heights,80444,3008
140,Elk,81649,4123
141,Glassboro,69000,19387
142,Logan,105804,5976
143,Greenwich,70255,4861
144,National Park,61397,2998
145,Paulsboro,46429,5970
146,Milltown,99704,7069
147,North Brunswick,88723,42591
148,Sayreville,79620,44744
149,South River,62332,16345
150,Woodbridge,83266,101639
151,Spotswood,75226,8443
152,East Brunswick,105959,48673
153,Middlesex,73196,13875
154,South Amboy,65074,8811
155,Carteret,73892,24040
156,Helmetta,79702,2321
157,Highland Park,75913,14250
158,Cranbury,138906,3844
159,Perth Amboy,50883,52563
160,South Brunswick,113815,45602
161,South Plainfield,91889,24154
162,Dunellen,78447,7392
163,Metuchen,116632,13940
164,Piscataway,89617,57695
165,Plainsboro,101993,23487
166,Jamesburg,83095,6038
167,Monroe,78263,43796
168,Old Bridge,88540,66880
169,Edison,95622,102304
170,New Brunswick,38413,56792
171,Pittsgrove,77537,9009
172,Quinton,65515,2474
173,Elsinboro,73523,1165
174,Upper Pittsgrove,95489,3397
175,Lower Alloways Creek,84688,1661
176,Mannington,81667,1721
177,Elmer,76458,1394
178,Oldmans,78636,1714
179,Pilesgrove,85889,4048
180,Alloway,71648,3362
181,Carneys Point,53892,7794
182,Salem,25171,4877
183,Woodstown,76071,3501
184,Penns Grove,37188,4917
185,Pennsville,62134,12742
186,Lower,60234,22051
187,West Wildwood,52396,435
188,Wildwood Crest,59436,3176
189,Dennis,67024,6298
190,Audubon Park,49250,951
191,Barrington,72602,6811
192,Haddonfield,138920,11428
193,Runnemede,61104,8391
194,Voorhees,85199,29386
195,Haddon Heights,90387,7530
196,Pennsauken,67495,35863
197,Tavistock,-666666666,4
198,Oaklyn,65301,4009
199,Pine Hill,51286,10517
200,Waterford,89898,10749
201,Lawnside,64103,2917
202,Magnolia,53938,4310
203,Mount Ephraim,67340,4641
204,Camden,26105,75550
205,Gloucester,73701,64034
206,Hi-Nella,45132,861
207,Collingswood,64885,13969
208,Gloucester City,51152,11333
209,Stratford,72955,7019
210,Hawthorne,93675,19065
211,North Haledon,96851,8564
212,Ringwood,116198,12451
213,Bloomingdale,80516,8139
214,Little Falls,85427,14524
215,Passaic,34920,71057
216,Paterson,36106,147890
217,Wayne,108092,55154
218,West Milford,98843,26759
219,Pompton Lakes,92952,11205
220,Totowa,97729,10829
221,Clifton,74963,86207
222,Wanaque,83010,11782
223,Haledon,65033,8440
224,Prospect Park,50938,5955
225,West Cape May,61250,1051
226,Woodbine,41111,2454
227,Cape May,58958,3500
228,Ocean City,72715,11328
229,Upper,81541,11990
230,Avalon,90000,1424
231,County subdivisions not,-666666666,0
232,Sea Isle City,72153,1971
233,Stone Harbor,101406,1013
234,Wildwood,29945,5136
235,Cape May Point,46964,204
236,North Wildwood,45629,3895
237,Middle,62249,18623
238,Brooklawn,62697,2006
239,Cherry Hill,97069,71204
240,Pine Valley,-666666666,4
241,Bellmawr,49713,11482
242,Berlin,90354,7612
